"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"페이스",2004-06-11,1534151500,1534151500,238950,238950,69,5674,"(주)태원엔터테인먼트","(주)시네마서비스","15세관람가","공포(호러)","유상곤","송윤아,신현준,조원희,장석원,김승욱,안석환,홍수아,신용하,나관,권혁,진혜미,박승찬,이승민,이철민,이주실,오정세"
"썸",2004-10-22,1488328000,1488328000,237763,237763,121,8366,"씨앤필름(주)","(주)시네마서비스","15세관람가","스릴러","장윤현","고수,김효인,신두현,강신일,강신일,김혜진,최화영,대룡,윤소일,오정은,이승준,강성진,한재영"
"파랑주의보",2005-12-22,1427060500,1427060500,232809,232809,128,5704,"(주)아이필름홀딩스","아이러브시네마","12세관람가","드라마","전윤수","송혜교,차태현,김신영,김윤석,김지영,김해숙,한명구,최우혁,송창의,조미리,홍성준,박정연,박지인,백지영,강연정,임정은,김보배,이병민,최선영,박민아,박보혜,정미진,김재민,정유정,옥수경,정지연,정지희,최윤정,최은주,최은혁,박효준,문정희"
"맹부삼천지교",2004-03-26,1424995500,1424995500,229240,229240,56,5254,"코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","김지영","손창민,조재현,소이현,손현주,김뢰하,김홍석,홍상석,박종욱,안갑용,나상문,김덕형,유상범,곽은미,김택수,유용현,유지원,인현주,박송이,최영주,이영자,오상민,김용석,이재웅,정석용,이인"
"청연",2005-12-29,1361242000,1361242000,223620,223620,164,3257,"코리아픽쳐스(주)","코리아픽쳐스(주)","12세관람가","드라마","윤종찬","장진영,김주혁,김응수,한지민,나카무라 토오루,진태현,현종욱,최호진,박상윤,박성진,임정혁,유재명,이승호,김기천,주부진"
"제니, 주노",2005-02-18,1283847500,1283847500,216516,216516,99,7606,"(주)컬처캡미디어","쇼이스트(주)","15세관람가","드라마","김호준","김혜성,박민지,김유나,김지연,이민아,강남길,박영미,박철수,안정현,한승규,권유진,김기수,김인화,이효휘,박범규,최순식,정소림,김창선,서민정,이정숙,정지안"
"인형사",2004-07-30,1324401000,1324401000,214709,214709,60,4035,"(주)필마픽쳐스","롯데쇼핑㈜롯데시네마","15세관람가","공포(호러)","정용기","임은경,김유미,심형탁,옥지영,천호진,조성아,안재범,배효진,임종호,정진환,최유성,김정자,남명렬,김도영"
"레드 아이",2005-02-18,1313457500,1313457500,210793,210793,86,7241,"태창엔터테인먼트(주)","영화사청어람(주)","12세관람가","공포(호러)","김동빈","송일국,장신영,곽지민,이동규,김혜나,박은선,조용민,하주희,배소연,임지연,오유진,이얼,장소연,이대연,오정세,박효주,최윤슬"
"소년, 천국에 가다",2005-11-11,1258000500,1258000500,207189,207189,193,7884,"(주)싸이더스,(주)크리스마스엔터테인먼트,㈜렛츠필름","(주)쇼박스,영화사청어람(주)","12세관람가","드라마","윤태용","염정아,박해일,홍수연,이봉원,손보현,김만근,조민수,조상호,박은수,조우영,안보영,안지영,김보라,강유근,장영석,박미선,이석예,이수일"
"나두야 간다",2004-06-25,1215167500,1215167500,193554,193554,60,5005,"화이트리시네마","롯데쇼핑㈜롯데시네마","15세관람가","코미디","정연원","권용운,안관수(추천),손창민,정준호,오유미,정소영,임동문,신현탁,서범식,강성필,서동수,금보라,장태성,전미선"
"어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장",2004-03-12,1158210500,1158210500,181510,181510,28,3570,"㈜제니스엔터테인먼트","(주)시네마서비스","12세관람가","코미디","강석범","김주혁,엄정화,김가연,기주봉,손재곤,김두찬,김준성,조성재,조은희,박지현,이복희,김영숙,허기호,노승범,이주리,강성필"
"쓰리 몬스터",2004-08-20,1161290500,1161290500,180377,180377,60,3970,"(주)영화사봄,어플로즈픽쳐스,가도카와헤럴드픽쳐스","CJ ENM","18세관람가","공포(호러)","박찬욱,미이케 다카시,프루트 챈","강혜정,하세가와 쿄코,이병헌,임원희,와타베 아츠로,양천화"
"엄마",2005-04-07,978382500,978382500,161780,161780,113,8844,"필름뱅크(주),영화사청어람(주)","영화사청어람(주)","전체관람가","드라마","구성주","고두심,손병호,김유석,송진열,이혜은,박충선,반민정"
"첼로-홍미주 일가 살인사건",2005-08-18,985067500,985067500,158318,158318,124,6573,"탁함 필름","(주)튜브엔터테인먼트","15세관람가","공포(호러)","이우철","성현아,박다안,정우철,최장원,최지은,김윤예,박정호,조은철,안수현,안여진,백진영,박노근,유지수,최수진,최원기,최윤희,이한나,정호빈,왕빛나,박성도"
"까불지마",2004-12-03,999160000,999160000,155308,155308,90,6418,"제이유프로덕션(주)","영화사청어람(주)","15세관람가","드라마","오지명","오지명,최불암,노주현,김정훈,임유진,박영아,조윤진,나재욱,권창범,서명석,최길호,유희연,윤은정,정유신,이재경,김학철,정호빈,정다빈,윤서현"
"동해물과 백두산이",2003-12-31,935988000,1041877500,146740,163194,21,1865,"(주)영화사샘,(주)쇼박스","(주)쇼박스","15세관람가","코미디","안진우","정준호,공형진,류현경,박정우,김유신,문성현,박상욱,윤지영,정지영,양지은,이혜미,신현탁,정경순,김광규,오지혜,한재영,한창현,박윤호"
"사랑니",2005-09-29,867603000,867603000,135505,135505,144,6878,"(주)시네마서비스","(주)시네마서비스","15세관람가","멜로/로맨스","정지우","김정은,이태성,정유미,김영재,김준성,김지훈,유은희,엄용흠,장소연,이주실"
"어깨동무",2004-03-12,753985500,753985500,119884,119884,26,3015,"(주)씨케이픽쳐스","CJ ENM","15세관람가","코미디","조진규","김아중,최령,이성진,이문식,유동근,박예리,박정률,배정아,강호동,김경용,최철호,김무생"
"라이어",2004-04-23,706033000,706033000,108156,108156,51,3092,"씨앤필름(주)","CJ ENM","18세관람가","코미디,멜로/로맨스","김경형","주진모,공형진,서영희,손현주,정우철,송선미,오만석,기주봉,정희태"
"DMZ, 비무장지대",2004-11-26,659079000,659079000,102233,102233,65,4649,"이규형시네마(주)","영화사청어람(주)","18세관람가","드라마,전쟁","이규형","김정훈,정채경,박건형,김종환,조경진,조대영,박현욱,박현주,노장식,장광익,박상현,최수안,이영종,이영호,김종학,김종환,이지수,박휘순,이대연,정은표,리우진,이계형"
"애인",2005-12-08,625824000,625824000,98639,98639,114,5289,"기획시대(주)","(주)쇼박스","18세관람가","멜로/로맨스","김태은","성현아,조동혁,박준영,한지원,임석현,박세진,한지원,이창용,길해연,지대한"
"바람의 전설",2004-04-09,636285500,636285500,97925,97925,42,2889,"필름매니아(주)","(주)시네마서비스","15세관람가","드라마","박정우","이성재,박솔미,김수로,문정희,김동영,김미경,정종훈,최정우,이정인,이칸희,유해진,정현철,조미경,홍성원,신현중,김의석,최현우,최혜진,허문영,백수미,한송이,백정현,권태훈,류정은,서원영,김도경,채영,최선희,오지연,정진영,김양수,김영복,이현우,이혜림,오현수,이필모,신현종,황석정,김병춘"
"발레 교습소",2004-12-03,531276500,531276500,87435,87435,83,3574,"좋은영화","CJ ENM","15세관람가","드라마","변영주","윤계상,김민정,이준기,온주완,박윤영,도지원,백종현,김일형,전정호,김태균,이은경,이종원,이미도,윤택,곽민호,최정인,남정희"
"왕후 심청",2005-08-11,418627000,418627000,71223,71223,57,2015,"코아필름서울(주)","(주)영화사한결","전체관람가","애니메이션,드라마,판타지","넬슨 신","강희선,최문자,탁원제,김도현"
"여고생 시집가기",2004-12-23,357352000,357352000,57943,57943,51,2136,"(주)더존필름","무비즈엔터테인먼트㈜","15세관람가","코미디","오덕환","은지원,임은경,황재석,김희성,박정율,신효진,김경환,민성주,정다빈,김철준,윤기원,이칸희,김동효,심이영"
"빙우",2004-01-16,363240500,363240500,55656,55656,18,1015,"쿠앤필름(주)","(주)쇼박스","12세관람가","드라마","김은숙","김하늘,이성재,송승헌,이상윤,김지연,유해진,조경래,추천호,이승준"
"태풍태양",2005-06-02,304763000,304763000,47908,47908,101,3835,"필름매니아(주)","쇼이스트(주)","12세관람가","드라마","정재은","김강우,김도형,서상원,천정명,김성훈,송영호,최정애,박태영,이명렬,이사무엘,김성우,장석영,장지혜,장지훈,장현수,김성욱,조이진,최진호,김동원"
"마지막 늑대",2004-04-01,303851500,303851500,47731,47731,26,1646,"제네시스픽쳐스(주)","(주)쇼박스,영화사풍년상회(주)","15세관람가","코미디","구자홍","황정민,양동근,김경란,김현정,오달수,장항선,신동호,최가연,이화룡,최승호,이혜영,김준성,김준하,손호승,황석정,김기현,유승목,이봉규,조희봉,정인겸"
"신암행어사",2004-11-26,251066500,251066500,41816,41816,66,2614,"캐릭터플랜(주)","(주)시네마서비스","15세관람가","애니메이션,판타지,SF","안태근,조지 시무라","구자형,지성,엄상현,배정미,송준석,배정민,김승준"
"돌려차기",2004-07-23,254315500,254315500,41401,41401,53,1807,"(주)씨네이천","(주)시네마서비스","12세관람가","코미디","남상국","박지연,현빈,진태현,김영호,김동완,신민철,신재민,정세인,최진우,조은희,나현,박철훈,남은영,노봉서,한용준,김갑동,김경모,서원진,김경욱,민성주,이상령,유재경,태인호,정민규,김태상,최세영,오선화,임대경,정유진,정철우,우성,김진섭,이창준,정우,이기우,문지윤"
"안녕! 유에프오",2004-01-30,250534000,250534000,40361,40361,17,864,"우리영화(주)","(주)튜브엔터테인먼트","전체관람가","드라마","김진민","김응수,변희봉,봉태규,이범수,이은주,정인선,홍윤정,박정수,배태종,류주현,정석원,이무룡,서용준,박근수,이힘찬,정금자,박상현,박상현,임선애,김진,이규섭,김종옥,조재윤,김영재,주부진,박성호"
"망치",2004-08-06,214344500,214344500,36200,36200,32,1238,"캐릭터플랜(주)","스폰지","전체관람가","애니메이션","안태근","김용준,표영재,최석필"
"그녀를 모르면 간첩",2004-01-30,187798000,187798000,30435,30435,22,822,"(주)엠쓰리엔터테인먼트","(주)쇼박스","15세관람가","코미디","박한준","공유,김정화,백일섭,김애경,남상미,김경섭,송혁재,홍승현,박경환,심재원,박한준,서동욱,강현,문진호,정영준,이재혁,유순철,김명국,조달환,이승연,유인영"
"그리스 로마신화 - 올림포스 가디언 - 기간테스 대역습",2005-07-28,120106500,120106500,21177,21177,53,1318,"지엔지엔터테인먼트,(주)가나미디어","(주)스폰지이엔티,스폰지","전체관람가","액션","김준","손원일,라용원,윤성혜,이한나,이정구"
"도마 안중근",2004-09-10,128953000,128953000,20318,20318,59,1814,"(주)소스원프로덕션","(주)소스원프로덕션","전체관람가","드라마","서세원","유오성,고두심,임명규,박정환,정혜선,최우혁,정성모,강민선,김효섭,안성균,노은영,한명숙,서광석,원주한,유재영,박소연,조유진"
"연애",2005-12-09,109587000,109587000,16665,16665,33,1125,"(주)필름나루,(주)싸이더스","CJ ENM","18세관람가","드라마","오석근","김지숙,전미선,장현성,성재윤,김로사,김미경,주지홍,백현정,이상옥,박성진,이재화,이정섭,장영남,유재명,지대한,윤다경,우기홍,정인기,박성진"
"종려나무 숲",2005-09-15,88488000,88488000,14323,14323,30,1156,"(주)영화사참,휴먼픽쳐스(주)","롯데쇼핑㈜롯데엔터테인먼트","15세관람가","드라마","유상욱","김민종,조은숙,김유미,백승철,문성기,김규형,이병혁,박광덕,김영기,김영춘,신현탁,정경섭"
"러브토크",2005-11-11,90831000,90831000,13875,13875,42,1338,"(주)엘제이필름","CJ ENM","18세관람가","멜로/로맨스","이윤기","김지수,배종옥,박희순,최덕문,박진희,김중기,정희태"
"고독이 몸부림칠 때",2004-03-19,68938500,68938500,10745,10745,20,826,"(주)마술피리","(주)쇼박스,영화사풍년상회(주)","15세관람가","코미디","이수인","주현,선우용녀,김무생,박영규,송재호,양택조,진희경,이주실,서원상,김재환,김준배,김준배,이재응,이세영"
"용서받지 못한 자",2005-11-18,68609500,68609500,10294,10294,15,590,"에이앤디픽쳐스","영화사청어람(주)","15세관람가","드라마","윤종빈","서장원,하정우,윤종빈,손상범,한승주,서민교,구성모,이영기,이혜민,윤부희,임현성,한성천"
"바리바리 짱",2005-08-19,56822500,56822500,9750,9750,44,695,"나눔엔터테인먼트","CJ ENM","12세관람가","코미디","남기남,정창욱","김시덕,김시명,채경선,이창환,신윤섭,김희영,최제헌,박정은,황제영,남기남,박현미,한나영,차동호,김대원,김서진,박석재,곽한구,이수근"
